Fecha,Q,P
1977-03-01,22.9976,142.1667
1977-06-01,22.6131,143.9333
1977-09-01,23.4054,146.5
1977-12-01,22.7401,150.8
1978-03-01,22.0441,160
1978-06-01,21.7602,182.5333
1978-09-01,21.6064,186.2
1978-12-01,21.8814,186.4333
1979-03-01,20.5086,211.7
1979-06-01,19.0408,231.5
1979-09-01,19.1457,222.7
1979-12-01,19.3989,223.8333
1980-03-01,18.947,231.1667
1980-06-01,18.898,227.5
1980-09-01,19.2127,237.5333
1980-12-01,19.4988,238.1667
1981-03-01,19.3429,233.5
1981-06-01,18.9816,230.7
1981-09-01,19.6459,239.0333
1981-12-01,19.2868,235.4333
1982-03-01,18.8193,233.3
1982-06-01,18.7968,242.9667
1982-09-01,19.9882,244.0333
1982-12-01,19.4242,233.1333
1983-03-01,19.2252,233.8667
1983-06-01,19.3361,240.9333
1983-09-01,20.4952,234.3667
1983-12-01,19.5995,227.1667
1984-03-01,19.3191,238.4667
1984-06-01,19.3744,238
1984-09-01,19.9738,232.2
1984-12-01,19.7597,233.2333
1985-03-01,19.0586,234.9
1985-06-01,20.0757,230.4333
1985-09-01,20.8175,222.7333
1985-12-01,19.2488,226.4333
1986-03-01,19.0212,229.2667
1986-06-01,20.1607,222.9
1986-09-01,20.7108,225.6333
1986-12-01,18.9416,229.3
1987-03-01,18.2746,230.6
1987-06-01,18.5266,239.1
1987-09-01,19.175,242.1667
1987-12-01,17.8807,241.6667
1988-03-01,18.1678,241.7333
1988-06-01,18.4639,250.1
1988-09-01,18.7622,254.5333
1988-12-01,17.2552,255
1989-03-01,16.9765,260.7
1989-06-01,17.5192,266.9667
1989-09-01,17.5975,268.0333
1989-12-01,17.2416,266.9333
1990-03-01,16.5516,272.6333
1990-06-01,17.3763,281.2
1990-09-01,17.4207,280.3667
1990-12-01,16.4315,289.8667
1991-03-01,15.9842,294.2667
1991-06-01,17.0449,295.2
1991-09-01,17.5591,284.6333
1991-12-01,16.2093,279.2
1992-03-01,16.3952,282.2667
1992-06-01,16.9538,286.8333
1992-09-01,17.227,282.6667
1992-012-01,15.9093,286.6667
1993-03-01,15.8915,292.1333
1993-06-01,16.2058,300.4
1993-09-01,17.043,292
1993-12-01,15.9513,289.2333
1994-03-01,16.2494,286.6667
1994-06-01,16.8868,286.1667
1994-09-01,17.3775,279.5
1994-12-01,16.4723,279.1667
1995-03-01,16.3097,283.8667
1995-06-01,17.0895,283.1
1995-09-01,17.647,285.1
1995-12-01,16.3476,285.2667
1996-03-01,17.0783,278.7
1996-06-01,17.6763,277.4
1996-09-01,17.1606,279.8
1996-12-01,16.2764,285.0333
1997-03-01,16.2921,278.8
1997-06-01,17.2994,278.9667
1997-09-01,17.0513,281.0667
1997-12-01,16.2354,279.3
1998-03-01,16.6884,273.4667
1998-06-01,17.1985,278.1
1998-09-01,17.5085,277.3667
1998-12-01,16.6475,279.5333
1999-03-01,16.6785,278
1999-06-01,17.7635,284.7667
1999-09-01,17.6689,289.2333
