Habitaciones;Banos;Parqueaderos;Area_construida;Area_privada;Estrato;Estado;Anos;Administracion;Ascensor;Circuito_cerrado;Parqueadero_visitantes;Porteria;Zonas_verdes;Salon_comunal;Balcon;Barra_americana;Calentador;Chimenea;Citofono;Cocina_integral;Terraza;Vigilancia;Parques_cercanos;Estudio;Patio;Deposito;Tipo;Precio
3;2;2;87;0;4;Excelente;0;280;1;1;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;Apartamento;780000000
2;1;0;45;45;3;Excelente;0;15200;1;1;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;Apartamento;175000000
2;1;0;45;45;3;Excelente;0;15200;1;1;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;Apartamento;175000000
2;1;0;45;45;3;Excelente;0;15200;1;1;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;Apartamento;175000000
2;2;0;49;49;3;Excelente;0;50000;0;1;1;1;0;0;0;1;1;0;1;1;1;0;0;0;0;0;Apartamento;209000000
2;1;0;46;44;3;Excelente;0;60000;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;Apartamento;210000000
3;2;1;58;58;3;Excelente;0;70000;0;0;0;0;0;1;0;1;0;1;1;1;1;0;0;0;0;0;Apartamento;280000000
3;2;1;58;58;3;Excelente;0;70000;0;0;0;0;0;1;0;1;0;1;1;1;1;0;0;0;0;0;Apartamento;280000000
2;2;0;58;55;3;No definida;0;70000;0;1;0;0;0;0;1;0;1;0;1;1;1;0;0;0;0;1;Apartamento;250000000
2;2;0;58;55;3;No definida;0;70000;0;1;0;0;0;0;1;0;1;0;1;1;1;0;0;0;0;1;Apartamento;250000000
2;1;0;51;51;3;No definida;0;75000;0;0;0;0;0;1;0;1;1;0;1;1;1;0;0;0;0;1;Apartamento;265000000
2;1;0;51;51;3;No definida;0;75000;0;0;0;0;0;1;0;1;1;0;1;1;1;0;0;0;0;1;Apartamento;265000000
3;2;1;59;59;3;Excelente;0;80000;0;0;0;1;0;1;0;1;0;0;1;1;1;0;0;0;0;0;Apartamento;285000000
3;2;1;59;59;3;Excelente;0;80000;0;0;0;1;0;1;0;1;0;0;1;1;1;0;0;0;0;0;Apartamento;285000000
3;2;1;59;59;3;Excelente;0;80000;0;0;0;1;0;1;0;1;0;0;1;1;1;0;0;0;0;0;Apartamento;285000000
3;2;0;60;0;2;No definida;0;80000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Apartamento;150000000
3;2;0;60;0;2;No definida;0;80000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Apartamento;150000000
3;2;1;74;74;3;Excelente;0;80000;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;Apartamento;320000000
2;2;2;85;81;4;Excelente;0;80000;1;1;0;0;0;0;1;1;1;0;1;1;1;0;0;0;0;0;Apartamento;700000000
2;2;2;85;81;4;Excelente;0;80000;1;1;0;0;0;0;1;1;1;0;1;1;1;0;0;0;0;0;Apartamento;700000000
2;2;2;85;81;4;Excelente;0;80000;1;1;0;0;0;0;1;1;1;0;1;1;1;0;0;0;0;0;Apartamento;700000000
2;1;0;40;40;3;No definida;0;80000;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;Apartamento;175000000
1;1;1;21;19;4;No definida;0;80000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Apartamento;158000000
1;1;1;21;19;4;No definida;0;80000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Apartamento;158000000
2;1;0;36,5;36,5;3;No definida;0;90000;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;Apartamento;220000000
2;1;0;42;36;3;Excelente;0;90000;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Apartamento;180000000
2;1;0;42;36;3;Excelente;0;90000;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Apartamento;180000000
3;2;1;112,5;112,5;3;No definida;0;100000;0;0;0;0;0;0;1;1;1;0;1;1;1;0;0;0;0;0;Apartamento;395000000
3;2;1;112,5;112,5;3;No definida;0;100000;0;0;0;0;0;0;1;1;1;0;1;1;1;0;0;0;0;0;Apartamento;395000000
3;2;1;112,5;112,5;3;No definida;0;100000;0;0;0;0;0;0;1;1;1;0;1;1;1;0;0;0;0;0;Apartamento;395000000
2;1;0;37;36;3;Bueno;0;100000;1;1;1;1;0;1;0;0;0;0;1;0;0;1;0;1;0;0;Apartamento;180000000
2;1;0;37;36;3;Bueno;0;100000;1;1;1;1;0;1;0;0;0;0;1;0;0;1;0;1;0;0;Apartamento;180000000
2;1;1;43;0;3;Remodelado;0;100000;1;1;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;Apartamento;200000000
2;1;1;43;0;3;Remodelado;0;100000;1;1;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;Apartamento;200000000
1;1;0;24;24;3;No definida;0;100000;0;0;0;0;1;0;0;0;1;0;1;1;1;0;1;0;0;0;Apartamento;165000000
2;1;0;36;36;3;Excelente;0;102000;1;0;0;1;1;1;0;1;1;0;0;1;0;1;0;0;0;0;Apartamento;210000000
2;1;0;39;33;3;No definida;0;108000;1;1;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;Apartamento;170000000
2;1;0;40;40;3;No definida;0;114000;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;Apartamento;180000000
2;1;0;45;39;3;No definida;0;116000;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;Apartamento;185000000
2;1;0;45;39;3;No definida;0;116000;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;Apartamento;185000000
2;1;0;45;39;3;No definida;0;116000;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;Apartamento;185000000
2;1;0;45;39;3;No definida;0;116000;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;Apartamento;185000000
2;1;0;45;39;3;No definida;0;116000;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;Apartamento;185000000
2;1;0;39;39;3;Bueno;0;118600;1;1;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;Apartamento;201000000
3;2;0;50;46;2;No definida;0;119000;1;1;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;Apartamento;170000000
3;2;0;49;0;3;Excelente;0;120000;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;Apartamento;200000000
2;2;1;71,21;71;4;No definida;0;120000;0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;Apartamento;505000000
2;2;1;71,21;71;4;No definida;0;120000;0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;Apartamento;505000000
2;1;0;42;38;3;No definida;0;120000;1;1;1;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;Apartamento;210000000
2;1;0;42;38;3;No definida;0;120000;1;1;1;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;Apartamento;210000000
2;1;0;42;38;3;No definida;0;120000;1;1;1;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;Apartamento;210000000
